Tinel	Negs	Sum	Count	Divzero	Average
3	3	3	3	1	3
1	3	3	3	1	3
1	3	3	3	1	3
3	0	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	1
3	3	3	3	3	3
1	3	3	3	3	3
3	1	3	3	3	3
3	1	3	3	0	3
3	3	3	3	1	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
1	3	3	3	1	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	0	3
3	3	3	3	1	3
3	3	3	3	3	1
3	3	3	3	0	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	0	3	3	3	3
3	1	3	1	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	1	3
3	1	3	3	1	3
3	3	3	3	1	3
3	3	3	3	3	3
1	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	1	3
3	3	3	3	1	3
3	1	3	1	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	0	3
3	3	3	3	3	3
3	3	3	3	3	3
1	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	1	3
3	3	3	1	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	1	3	3	3	3
3	3	3	3	3	3
3	1	3	3	1	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	0	3	3	0	3
1	3	3	3	0	3
3	0	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	0	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	1	3
3	3	1	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	0	3
3	3	3	3	0	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	1	3	3	0	3
3	3	3	3	0	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	0	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
1	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	1	3	3	3	3
3	1	3	3	3	3
1	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	1	3
1	1	3	3	0	3
3	1	3	3	1	3
1	3	3	3	0	3
3	0	3	3	3	3
1	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
1	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	0	3	3	3	3
3	3	3	3	1	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	3	3	3	3	3
3	1	3	1	3	3
1	1	3	3	1	3
3	3	3	3	1	3
3	1	1	3	1	3
