tinel,negs,sum,count,divzero,average,score,t,n,s,c,d,a
s,x,ok,x,x,x,4,1,0,3,0,0,0
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
s,ok,ok,x,x,x,7,1,3,3,0,0,0
x,s,ok,s,x,ok,8,0,1,3,1,0,3
ok,ok,s,s,s,ok,12,3,3,1,1,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
s,ok,ok,s,ok,ok,14,1,3,3,1,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,x,ok,ok,x,ok,12,3,0,3,3,0,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,x,12,3,0,3,3,3,0
ok,x,ok,ok,s,ok,13,3,0,3,3,1,3
s,x,ok,ok,ok,ok,13,1,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,s,ok,ok,16,3,3,3,1,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,s,ok,13,3,0,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,s,ok,ok,14,3,1,3,1,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
x,x,x,x,x,x,0,0,0,0,0,0,0
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,s,ok,ok,ok,ok,14,1,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,ok,ok,ok,ok,ok,16,1,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,s,ok,14,3,1,3,3,1,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,ok,ok,ok,ok,ok,16,1,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,s,ok,ok,s,ok,14,3,1,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
s,ok,ok,ok,ok,ok,16,1,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,x,ok,13,3,1,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,x,ok,ok,s,ok,11,1,0,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,x,ok,ok,x,ok,10,1,0,3,3,0,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,x,ok,12,3,0,3,3,0,3
ok,x,ok,ok,x,ok,12,3,0,3,3,0,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,xgp,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,xgp,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,x,ok,15,3,3,3,3,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
s,ok,ok,ok,ok,ok,16,1,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,s,x,ok,13,3,3,3,1,0,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,s,ok,16,3,3,3,3,1,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,x,ok,ok,ok,ok,15,3,0,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,s,ok,ok,ok,ok,16,3,1,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
ok,ok,ok,ok,ok,ok,18,3,3,3,3,3,3
